Timestamp,I_1,I_2,I_3,V_1,V_2,V_3,E_Active,E_Reactive
2018-11-22 23:24:35,10.483,9.842,7.983,232.464,229.855,234.244,14914,5710
2018-11-22 23:44:35,10.45,9.863,7.975,232.215,229.851,233.858,14915,5711
2018-11-23 00:04:35,10.5,9.878,7.989,232.859,230.824,234.563,14917,5712
2018-11-23 00:24:35,10.5,9.864,7.979,232.894,230.861,234.541,14919,5713
2018-11-23 00:44:35,9.7,9.1,7.2,233.191,231.172,235.061,14921,5714
2018-11-23 01:04:35,2.5,2.3,0.0,234.527,233.056,235.841,14922,5715
2018-11-23 01:24:35,2.571,2.3,0.0,234.836,233.501,235.994,14922,5715
2018-11-23 01:44:35,2.54,2.3,0.0,235.309,234.151,236.575,14923,5715
2018-11-23 02:04:35,2.6,2.3,0.0,235.538,234.685,236.865,14923,5716
